sessionid,day,time,duration,room,track,type,kids category,title,description,participants
14,Fri,10:00 PM,1hr 15min,Marina 1,Media,Panel,Welcome,Freaks and Geeks Can Buy Its Own Beer Now,"21 years ago, Paul Feig's Freaks and Geeks presented the most realistic, least glamorized view of high school seen in popular entertainment. Following two groups of outcasts, one troubled and rebellious, the other socially awkward, it famously set a standard of high quality, it launched the careers of many young actors, including Seth Rogen, James Franco, Linda Cardellini, Jason Segel, Martin Starr, and more. Come look back on the tragically short run and long-lasting legacy of Freaks and Geeks."," Kevin Cafferty, Kevin Eldridge (m), Wendee Abramo, Dr. Jim Prego"
15,Sun,8:30 AM,1hr 15min,Marina 1,Media,Panel,Welcome,1999: The Year Nobody Left The Theater,"1999 was another one of those years where it seemed like there was a new genre film in the cinemas every week: The Matrix, The Iron Giant, Being John Malkovich, The Sixth Sense, The Mummy, Toy Story 2, South Park: Bigger, Longer, and Uncut, plus that one with the midichlorians in it. How many did you see before the Y2K bug destroyed modern civilization?"," Andy Hicks, Randee Dawn, Nomi S. Burstein (m), Troy Minkowsky, Arthur Chu, Monica Castillo"
16,Sun,5:30 PM,1hr 15min,Otis,Media,Panel,Welcome,The Nice and Accurate Ineffability of Good Omens,"The long-awaited adaptation of Neil Gaiman's and Terry Pratchett's 1990 apocalyptic novel Good Omens came to Amazon Prime last summer. In six episodes, we met an enormous cast, saw the world on the brink of destruction, and also there was a dog, but it was the rich portrayal of the millennia-spanning relationship between angel Aziraphale and demon Crowley that truly connected with many. Come discuss what you felt about the miniseries and how well it lived up to the material."," A.J. Odasso (m), Julia Gilstein, Karen S., Gabriel Valdez, Lee C. Hillman (Gwendolyn Grace)"
18,Mon,2:30 PM,1hr 15min,Marina 2,Media,Panel,Welcome,Arisia Casting Call: The Fantastic Four,"At SDCC 2019, it was announced that, after the merger of Fox and Disney, the Fantastic Four would be coming to the MCU. Kevin Feige has a lot on his plate, however, so as a favor, we're going to decide, in 75 minutes, who should be cast as Mr. Fantastic, the Invisible Woman, the Human Torch, the Thing, and Marvel's uber-bad guy Doctor Doom. You're welcome, Disney!"," Pablo Vazquez, Corinne Luz, Michael A. Burstein (m), Daniel Neff"
19,Sat,8:30 PM,1hr 15min,Marina 4,Media,Panel,Welcome,The Orville: Its Continuing Mission,"Many wrote off The Orville as ""Family Guy in Space"". We soon saw that Seth MacFarlane's SF outing was actually a surprisingly straight-faced love letter to the space operas of his youth, especially Star Trek: The Next Generation. In between the antics, The Orville has tackled such weighty topics as racism, gender identity, and religious fanaticism. Our panel will go over the ways the Orville has surprised and impressed, and speculate on where it might go when it returns to Hulu in the fall."," Cassandra Lease, Dan Toland, Gordon Linzner (m), Dale Meyer-Curley, Melissa Honig"
20,Sun,7:00 PM,1hr 15min,Marina 4,Media,Panel,Welcome,Game of Thrones: And Now Our Watch Is Ended,"After eight years, the HBO adaptation of George R R Martin's A Song of ice and Fire drew to a close with a divisive season full of controversies, ranging from rushed storylines to failures in character development to a rogue coffee cup.  We hope to discuss the winners and losers of the Game as well as determine whether these six episodes undermined the legacy of both the previous seasons and the books themselves."," Mark W. Richards, Naomi Hinchen (m), Santiago Rivas, Don Chase, Marianna Martin PhD"
21,Sun,10:00 PM,1hr 15min,Marina 4,Media,Panel,Welcome,Tabletop Gaming as a Spectator Sport,"Over the last few years, the trend toward video game streaming has carried over to the tabletop RPG world. Shows such as Critical Role, Relics and Rarities, and Sirens of the Realm, many of which spotlight actors and experts engaging in long-form improv storytelling, can garner dozens of millions of views per episode. What factors draw such a large audience to view Dungeons and Dragons as entertainment to be watched, rather than played?"," Lisa Padol, Aran P. Ink, Tori Queeno, Melissa Honig (m)"
22,Mon,1:00 PM,1hr 15min,Marina 2,Media,Panel,Welcome,Where is Star Trek Boldly Going?,"The new showrunners of the second season of Star Trek: Discovery took the crew in new directions and ended things with a status-shattering finale. Jean-Luc Picard is set to begin his own ten-episode series, while Lower Decks takes a more lighthearted look at some underutilized corners of Starfleet. What does the future hold, and will it make you finally shell out $6 a month for CBS All Access? Join our panelists as they look forward to the upcoming voyages of the Star Trek universe!"," Jennifer Pelland, Nathan Comstock, Pablo Vazquez, Nomi S. Burstein (m)"
23,Sat,11:30 AM,1hr 15min,Faneuil,Media,Panel,Welcome,Fifteen Years of Supernatural,"Despite dying numerous times Sam and Dean Winchester are in their 15th -- and final -- season of hunting things and saving people. What's kept this show on the air for so long (besides perhaps a deal with a Crossroads Demon)? In the end, will the brothers evade the Reaper once again, or will they finally, truly, really die? And how much pie do you think Dean can really eat in one sitting?"," Don Chase, Ilene Tatroe, Lee Clever Roberts, Naomi Hinchen (m), Dr. Jim Prego"
24,Mon,11:30 AM,1hr 15min,Faneuil,Media,Panel,Welcome,Smashing the Like Button on Film Criticism,"Online video essayists have shown real skill at exploring film in new ways. Whether it's the insight underneath the nonsense of the Plinkett reviews, the eye Patrick Willems brings to old favorites dressed in sketch comedy, or Lindsay Ellis' analysis of The Hobbit that earned her a Hugo nod, there are untold numbers of film critics finding new ways to tell you that Star Wars was pretty good. We'll analyze it is we look for in online film criticism, and the ways they differ from what came before."," Sam Schreiber, Reuben Baron, Megan Kearns, Deirdre Crimmins (m)"
26,Sat,7:00 PM,1hr 15min,Marina 4,Media,Panel,Welcome,Let's Go To The Mall: Stranger Things,"The latest iteration of this neverending story saw Hawkins, Indiana's new Starcourt Mall under siege. Our teenaged heroes were beset on all sides by Russians, Mind Flayers, and the changing interpersonal dynamics between the kids themselves. The panel will discuss the latest season, chart the growth of the characters, and continue to pine for The Robin and Steve Show."," Kevin Eldridge (m), David Olsen, Richard Ralston, Kristin Janz, Bey Woodward"
27,Sun,1:00 PM,1hr 15min,Independence,Media,Panel,Welcome,Tears in Rain: Rutger Hauer,"In 2019, we lost Rutger Hauer, a character actor with a long pedigree in genre films. Making a huge impact as self-aware replicant Roy Batty in 1982's Blade Runner, Hauer could be seen in innumerable SF/F properties, most notably The Hitcher, Ladyhawke, the original Buffy the Vampire Slayer, Sin City, and even Galavant. Join us as we say goodbye to a much beloved mainstay of nearly forty years of science fiction and fantasy entertainment."," Richard Ralston, Griffin Ess , Rachel Kenley, Dan ""Grim"" Marsh (m)"
31,Sun,2:30 PM,1hr 15min,Independence,Media,Panel,Welcome,Love Is The Message: Pose,"For two seasons and counting, FX's Pose has followed the largely African-American and Latinx ballroom culture in Reagan/Bush-era New York. An array of LGBTQ+, non-gender-conforming models and performers embrace the love and support of their found families as the ever-spiraling AIDS pandemic becomes a central focus of a community that's seen too many funerals. We'll discuss this series, with special attention to an underground culture that's been lacking positive representation up to this point."," Brent Weichsel, Jennifer Pelland, Megan Kearns, Donna Martinez (m)"
32,Sun,1:00 PM,1hr 15min,Marina 2,Media,Panel,Welcome,Welcome to The Good Place! Everything Is Fine.,"For four years, The Good Place has challenged us with its combination of sitcom humor and moral philosophy as it presents a fantastical vision of the afterlife. What does this show do so well to attract so many different types of viewers? What lessons can we learn from it about living our own lives ethically? Or is it all just a big joke?"," Ilene Tatroe, Andrea Martinez Corbin, Cadwell Turnbull, Andy Hicks (m), Arthur Chu"
33,Sun,8:30 PM,1hr 15min,Marina 4,Media,Panel,Welcome,The Wachowskis and Gender Representation,"Even before Lana and Lilly Wachowski became known for genre film- and television-making, they have been known for their strong, meaningful representations of trans and nonbinary people throughout their oeuvre.  Have the Wachowskis' portrayals helped normalize trans and nonbinary people in American culture?  What are the highlights—and lowlights—of the Wachowskis' careers in this regard?  And what would you like to see?"," Brent Weichsel, Mink Rose, Reuben Baron, Max Impakt / Ask Kaylee Frye (m), Lee C. Hillman (Gwendolyn Grace)"
35,Fri,8:30 PM,1hr 15min,Marina 1,Media,Panel,Welcome,Crisis on (Nearly) Infinite Arrowverse Series,"Now in its eighth season, the Arrowverse has just finished the massive Crisis on Infinite Earths, spreading across Arrow, The Flash, Supergirl, Legends of Tomorrow, and Batwoman, while also bringing in Black Lightning and a wide array of DC superheroes from decades past. Come join the panel as they say goodbye to Oliver Queen, hello to Kate Kane, and stand in amazement at an achievement on TV that rivaled any shared cinematic universe."," Dan Toland, Naomi Hinchen, Bey Woodward (m), Michael A. Burstein, Kevin Eldridge, Jonathan Woodward"
36,Sun,11:30 AM,1hr 15min,Marina 1,Media,Panel,Welcome,Captain Marvel Has Nothing To Prove To You,"February's Captain Marvel was the culmination of two years of the typical online calls for boycotts and attempts to influence its reviews negatively when a tentpole franchise doesn't have a white man in the lead; it nevertheless found considerable success, if its box office and an internet full of pictures of fans dressed as Carol Danvers is anything to go by. As the first MCU release with a woman as the sole title character, we'll talk about what worked and what could come next."," Christopher K. Davis, Heather Urbanski (m), Lyndsay Ely, Jennifer Pelland, Victoria Janssen"
38,Sat,8:30 AM,1hr 15min,Marina 1,Media,Panel,Welcome,Steven Universe: Still Always Finding A Way,"Steven Universe, which saw the release of a movie in September, continues to be a show that deals uncompromisingly with issues around gender, childhood, and family in ways both unexpected and delightful (if not without the occasional problem). It's also telling a great long-form adventure story. We'll talk about all elements of this show in a panel that, like the show itself, will appeal to fans of all ages."," Sid Hackney, Liam McGlohon , Sioban Krzywicki, Arthur Chu (m)"
42,Mon,10:00 AM,1hr 30min,Douglas,Cosplay & Costuming,Participatory Event,Welcome,Masquerade Show and Tell,A show-and-tell session where masquerade participants may display and discuss their costumes moderated by the Masquerade Director. Come learn about the nights best winners and ask the questions you're eager to hear the answers to., James Hinsey (m)
53,Sat,11:30 AM,1hr 15min,Marina 1,Cosplay & Costuming,Panel,Welcome,Prop Weapons for Costumers,"Learn some tips on construction and modification of costume weapons. Special consideration will be given to safety and transport.  How far does one go towards looking authentic without risking the safety and comfort of other attendees?  Are simulated costume guns now verboten, or at least gauche? What about bladed costume weapons? Does peace-bonding obviate the issue, or is there something more in play?  How can you modify your props to be con or stage safe?"," Jamila Sisco, Lisa J Steele, KarlS Web (m), Amy J. Murphy"
58,Sat,2:30 PM,1hr 15min,Douglas,Cosplay & Costuming,Panel,Welcome,Cross-Cultural Costuming,"When presenting a character or costume of a race, ethnicity, or culture not your own, to what issues must we be sensitive? What are the pitfalls, and how do we avoid them? Where is the line between respectful cultural representation and cultural appropriation? Not everything that is well meaning is acceptable and the distinction between the two is usually difficult to discern."," James Hinsey, Lilli Fehler (m), Monique ""Moniquill"" Poirier, Hannah Prum (Kirkette Cosplay), Milo Martinez"
67,Sat,10:00 AM,1hr 15min,Marina 1,Cosplay & Costuming,Panel,Welcome,"Using, Making, and Modifying Sewing Patterns","Drafting a pattern can be difficult, but it’s made a lot easier when you can take an existing pattern and change it into what you need.  But where do you start?  Our panelists discuss useful base patterns and how to go about changing them, as well as where to start when making your own."," Barbara M Pugliese (m), Dan ""Grim"" Marsh, E. C. Ambrose, Leslie Johnston, Lisa A Ashton"
68,Sat,1:00 PM,1hr 15min,Douglas,Cosplay & Costuming,Panel,Welcome,Using Basic Electronics in Costumes,"We'll cover the basics of the use of electronics to create light, sound or movement in costume and prop design.  We'll cover topics such as soldering, wiring, and batteries, as well as how to get your hands on the basics."," Kevin Osborn (m), Michael Meissner, Jamila Sisco, Shirley Dulcey"
71,Sat,5:30 PM,1hr 15min,Otis,Cosplay & Costuming,Panel,Welcome,Judging and Being Judged in Costume Contests,"What makes a good judge?  How involved is the process, and what are the expectations of the judge?  And why does it take soooooo long?  Our panelists will discuss what goes on in the judging process, the difference between presentation and workmanship, and why skill categories exist, in addition to offering their advice on how to prepare yourself to be judged...or be a judge yourself."," James Hinsey (m), Lilli Fehler, Jamila Sisco, Sharon Sbarsky, Carol Salemi"
75,Sat,4:00 PM,1hr 15min,Otis,Cosplay & Costuming,Panel,Welcome,Getting Into Character,"Getting into character is the key to making your cosplay shine. Our panel of performance-minded costumers share with you their secrets for bringing their costume to life through communication, movement, visual, verbal, and nonverbal actions."," Lee Clever Roberts (m), Wonder Wendy Farrell, Michael Bailey, Nightwing Whitehead, Ken Kingsgrave-Ernstein"
77,Mon,1:00 PM,1hr 15min,Marina 3,Cosplay & Costuming,Panel,Welcome,Costuming on a Budget,"Costuming can be an expensive hobby, as the elements of a costume and the supplies needed to create them can add up quickly. We'll discuss how to get the most out of your dollar through the use of inexpensive fabrics and notions, alternative techniques or materials, and how to plan ahead so you can find time and ways to save the most money.  We'll discuss thrifting, upcycling, downcycling/distressing, and how to choose versatile base items that can be used in multiple costumes."," Wonder Wendy Farrell, Sarah ""Tashari"" Morrison, Hannah Prum (Kirkette Cosplay) (m)"
83,Sun,11:30 AM,1hr 15min,Alcott,Cosplay & Costuming,Panel,Welcome,Superhero Costuming,"In many cases, superhero costuming means spandex and capes, but that doesn't have to be the case. Bring out your inner hero and learn about the different types of superhero costumes and the techniques used to create them. Also, discuss the most popular and mainstream superhero costumes, and those that get overshadowed by them."," Mercy Van Vlack, Nightwing Whitehead (m), Basil El Halwagy"
96,Sun,1:00 PM,1hr 15min,Otis,Cosplay & Costuming,Panel,Welcome,Gender-Variant Cosplay,"Cosplay can offer a fun way to play with gender, whether one is cross-dressing, gender-bending a favorite character, or something totally different!    This panel will offer tips and tricks for new and experienced cosplayers alike, as well as insight on what it's like to play with gender in a con scenario."," Julia Pugliese, Lilli Fehler, Hannah Prum (Kirkette Cosplay), Milo Martinez, Nightwing Whitehead (m)"
107,Mon,2:30 PM,1hr 15min,Marina 3,Cosplay & Costuming,Panel,Welcome,Finding Closure,"Find the right closure for the job.  From basic buttons and snaps, to Velcro and zippers, and on to the hooks and magnets - learn which closure works best for what application."," Lilli Fehler, Antonia Pugliese, Barbara M Pugliese (m)"
117,Fri,5:30 PM,1hr 15min,Marina 2,Cosplay & Costuming,Panel,Welcome,First Steps for New Costumers,"So you want to be a costumer, but don't know where to begin?  Then this panel is for you.  Our group of veteran costumers tell you how to get started in the hobby with everything from tips and tricks to demystifying the terms and expectations that are out there.  We all had to start somewhere, so let us help you do the same."," James Hinsey (m), Wonder Wendy Farrell, Raven Stern , Sarah ""Tashari"" Morrison, Anastasia Holt"
119,Sat,11:30 AM,1hr 15min,Independence,Workshops,Workshop,Welcome,Techniques for Body Positive Cosplay,"Have you ever felt that you “couldn’t” cosplay your favorite character because you believed your body type was the “wrong” kind?  Ever felt like you would have to change your body if you were to cosplay a character you loved? People come in all shapes and sizes, and cosplay should too! Join other body-positive cosplayers as we discuss design, construction, and modeling techniques to help your cosplay look good on the body that you have right now. Sign up in Program Nexus. Limit: 15.", Hannah Prum (Kirkette Cosplay) (m)
123,Fri,7:00 PM,1hr 15min,Marina 2,Cosplay & Costuming,Panel,Welcome,How do I do the thing?,"Do you have a very specific problem that Google is not providing the answer to? We've all been there and maybe these panelists can help! Come prepared with your questions that could use an expert's opinion, nothing is too big or too small! Bragging rights for whomever can stump the panel."," Sarah ""Tashari"" Morrison, Jamila Sisco, Nightwing Whitehead, E. C. Ambrose, Anastasia Holt"
129,Sun,10:00 AM,1hr 15min,Alcott,Cosplay & Costuming,Meetup,Welcome,Northern Lights Costumers Guild Meeting,"The Northern Lights is the New England Chapter of the ICG (International Costumers Guild). This will be their monthly guild meeting, new/prospective members are welcome to come and chat and maybe eveng join the guild!",
130,Sat,5:30 PM,1hr 15min,Adams,Workshops,Workshop,Welcome,Soldering 101,"Learn to solder by building a simple circuit that blinks. This year's design is the Arisia Lens. NOTE: This is a quick project, so this block is divided into three short sections. Be sure you go to the one you sign up for! Materials fee: $5 per participant. Kids under 10 may participate but must have an adult ""assistant."" Sign up in Program Nexus. Limit: 15 per session.", Kevin Osborn (m)
131,Sat,11:30 AM,1hr 15min,Bulfinch,Workshops,Workshop,Welcome,Figure Drawing: Cosplay edition,"Arisia is a great opportunity to see some great costumes, and here is an opportunity to spend a little time drawing them. Our costumed volunteers will do several poses for short time periods (up to 15 minutes) to help you get it right. Minimal instruction given; paper and pencils provided, or bring your sketchbook and own materials. Sign up in Program Nexus. Limit: 54."," Lisa Hertel, Sarah ""Tashari"" Morrison (m)"
134,Sun,11:30 AM,1hr 15min,Faneuil,Art & Maker,Panel,Welcome,The State of Microcontrollers,"Micro-controllers like the Arduino and Raspberry Pi have changed a lot in the last few years, and new devices like the Raspberry Pi 4 and the Arduino M0 and M4’s have come onto the scene. Not only are these devices more powerful but they come in smaller packages as well.
Our panelists will discuss the latest tools and how they use them to make robots, art, and other awesome stuff."," Drew Van Zandt, Scott Lefton, Michael Meissner, Shirley Dulcey, Rich Maynard (m)"
135,Sun,10:00 AM,1hr 15min,Faneuil,Art & Maker,Panel,Welcome,Ask a Maker,"Not sure where to source parts for building your first robot? Wondering what kind of paint to use on your replica blaster pistol? Bring your questions, and our panelists will discuss the tools and techniques they've used to solve problems like yours."," Kevin Osborn, Drew Van Zandt, Lisa Hertel, Nightwing Whitehead, Scott Lefton (m)"
137,Fri,10:00 PM,2hr,Harbor Ballroom II-III,Art & Maker,Participatory Event,Welcome,Art Show Reception,"Come meet the artists, see their work, and get an early chance to bid!  There will be a cash bar.",
138,Sat,1:00 PM,1hr 15min,Harbor Ballroom II-III,Art & Maker,Participatory Event,Welcome,	Directors' Tour of the Art Show,"Come get a guided tour of the Art Show with commentary by our art show directors, and hear what goes into putting an art show together.",
143,Mon,10:00 AM,1hr 15min,Marina 3,Art & Maker,Panel,Welcome,Making Space for Making,"Crafting, making, cosplay, all take equipment and materials. The panel will discuss different approaches to making space in your home for making. From boxes under the bed to dedicated makerspaces in garages and basements. Also, we'll discuss the advantages and disadvantages of using community makerspaces as an alternative."," Kevin Osborn, Lisa Hertel, Phillip Hallam-Baker, Abigail Keenan (m), Scott Lefton, Kate Wechsler"
144,Sun,1:00 PM,1hr 15min,Faneuil,Art & Maker,Panel,Welcome,Kid-Friendly Maker Projects,"Kids (under 12) can be Makers, too. What sort of projects are complex enough to be interesting, but simple enough for beginners to complete? What projects are good for families to tackle together, and what are appropriate for the kids to do on their own?"," Julia Austein, Scott Wilhelm, Guillermo Zeballos, Kevin Osborn (m)"
145,Sun,2:30 PM,1hr 15min,Faneuil,Art & Maker,Panel,Welcome,Lighting It Up: Adding Sparkle to Your Projects,"This workshop covers how to design basic and intermediate LED and other illumination techniques for set decoration, events, or even home lighting. If you have small projects bring them for show and tell."," Drew Van Zandt, Phillip Hallam-Baker, Scott Lefton, Michael Meissner (m), Shirley Dulcey"
152,Fri,10:00 PM,1hr 15min,Bulfinch,Music,Song Circle,Welcome,Open Singing,"Come listen and/or make music in this unthemed song circle. All types of music are welcome. Time permitting, everyone who wishes to lead a song will have at least one opportunity to do so. (participatory song circle)", Elizabeth Birdsall (m)
153,Fri,11:30 PM,3hr 30min,Bulfinch,Music,Song Circle,Welcome,Singing Into the Night,Open Singing descends into chaos. Music will continue as long as people are interested. (participatory song circle),
155,Sat,10:00 PM,1hr 15min,Bulfinch,Music,Song Circle,Welcome,Open Singing,"Come listen and/or make music in this unthemed song circle. All types of music are welcome. Time permitting, everyone who wishes to lead a song will have at least one opportunity to do so. (participatory song circle)", Ellen Kranzer (m)
156,Sat,11:30 PM,3hr 30min,Bulfinch,Music,Song Circle,Welcome,Singing Into the Night,Open Singing descends into chaos. Music will continue as long as people are interested. (participatory song circle),
158,Sun,10:00 PM,1hr 15min,Bulfinch,Music,Song Circle,Welcome,Open Singing,"Come listen and/or make music in this unthemed song circle. All types of music are welcome. Time permitting, everyone who wishes to lead a song will have at least one opportunity to do so. (participatory song circle)", Benjamin Newman (m)
159,Sun,11:30 PM,3hr 30min,Bulfinch,Music,Song Circle,Welcome,Singing Into the Night,Open Singing descends into chaos. Music will continue as long as people are interested. (participatory song circle),
160,Mon,3:00 PM,5hr 45min,Bulfinch,Music,Song Circle,Welcome,Dead Dog Open Filk,"One last chance to sing, play, or listen. While nominally a filk session, all sorts of music are welcome. (participatory song circle)",
161,Mon,2:30 PM,30min,Bulfinch,Music,Meeting,Welcome,Music Track Debrief,"Come tell us what you did and didn't like about this year's music programming, and help us figure out how to make it even better next year!"," Angela Kessler, Jeremy H. Kessler (m)"
162,Sun,11:30 AM,1hr 15min,Bulfinch,Music,Song Circle,Welcome,Chantey Sing,"Come sing (or just listen, but we hope you'll sing) songs of sailing in all forms, with an emphasis on work songs from the age of sail. Fun for all! (themed participatory song circle)"," Jeremy H. Kessler (m), Sonya Taaffe"
163,Sat,11:30 AM,1hr,Pool,Music,Song Circle,Welcome,Singing in the Pool,What's better than singing in a shower? Singing in a swimming pool! Bring a bathing suit and help us experiment with the acoustics. We will begin by gathering just outside the pool area for our traditional singing parade through the hotel's public spaces. Follow the giant rubber duck! (themed participatory song circle)," Marnen Laibow-Koser, Ben Silver, Jeremy H. Kessler (m)"
164,Sat,4:00 PM,1hr 15min,Alcott,Music,Song Circle,Welcome,Traditional Ballad Bingo,"Join the fun as attendees (that's you!) take turns performing traditional ballads for the assemblage. Listen carefully to mark your Ballad Bingo cards when you detect such classic tropes as drowning, pregnancy out of wedlock, or murder of a loved one. Compete for ""valuable"" prizes! Bingo cards will be provided, but it wouldn't hurt to bring a pen or pencil. (themed participatory song circle)"," Dan ""Grim"" Marsh, Jeremy H. Kessler, Sonya Taaffe, Rebecca Maxfield, Angela Kessler (m)"
166,Mon,1:00 PM,1hr 15min,Bulfinch,Music,Sing-Along,Welcome,Sing-along: Funny Songs,"Come sing along with some of the funniest songs, filk or otherwise, that we could find!  Leaders may play accompaniment to support the singing.  (participatory sing-along with words provided, via either projection or paper handout)"," Nat Budin (m), Mercy Van Vlack, Naomi Hinchen"
167,Sat,8:30 PM,1hr 15min,Bulfinch,Music,Song Circle,Welcome,Rousing Chorus Songs,"Come sing (or just listen, but we hope you'll sing) songs with uncommonly good and energetic choruses that really pull people in. Filk, folk, and anything else are all welcome, but insufficiently rousing songs and songs without choruses will be gonged! (themed participatory song circle)"," Angela Kessler, Benjamin Newman, Nat Budin (m)"
173,Sun,8:30 PM,1hr 15min,Bulfinch,Music,Song Circle,Welcome,Good Story Songs,"Come sing (or just listen, but we hope you'll sing) songs that tell really neat stories--that is, they have coherent, compelling narratives as well as good lyrics and good tunes.  Stories come from all sorts of varied perspectives, and we hope that the songs brought to this session will, too.  Filk, folk, and anything else is welcome, so long as the story is good. (themed participatory song circle)"," Shoshana Traum, Dan ""Grim"" Marsh, Benjamin Newman (m)"
177,Sat,5:30 PM,1hr 15min,Bulfinch,Music,Song Circle,Welcome,Songs of Rudyard Kipling,"Rudyard Kipling wrote a wealth of poems that make excellent songs, as demonstrated by the likes of Peter Bellamy and (especially in filk and SCA circles) Leslie Fish. Come ""Kiple"" with us as we indulge in a number of them and maybe a few parodies. If you can, bring some to share!  (themed participatory song circle)"," Jeremy H. Kessler, Benjamin Newman, Sonya Taaffe, Ellen Kranzer (m)"
